,Image,Category,sub-category,Tittle,Details
39,,BedRoom,Bed Cots,Mulberry,"This is a modern, dark-finished platform bed featuring a paneled headboard with square cut-out details. The low-profile design and clean lines offer a contemporary aesthetic suitable for a variety of bedroom styles."
40,,BedRoom,Bed Cots,Valerian,"This is a classic, wood-framed bed with a rectangular headboard featuring simple, recessed paneling. The warm, medium-toned wood finish and traditional design offer a timeless aesthetic suitable for a variety of bedroom styles."
41,,BedRoom,Bed Cots,Daisy,"This is a modern, dark wood bed with a paneled headboard and matching footboard, both featuring square cut-out details. The rich, dark finish and contemporary design create a stylish focal point for a well-coordinated bedroom."
42,,BedRoom,Bed Cots,Agatea,"This is a contemporary, dark wood bed with a low-profile platform and a geometrically paneled headboard and footboard. The rich, dark finish and modern design offer a stylish and cohesive look for a modern bedroom."
43,,BedRoom,Bed Cots,Ivy,"This is a modern, dark wood bed with a prominent, geometrically paneled headboard and matching footboard, creating a cohesive, contemporary look. The rich wood finish and clean lines offer a stylish focal point for a well-coordinated bedroom."
44,,BedRoom,Bed Cots,Periwinkle,"This is a modern, dark wood storage bed featuring a padded, diamond-tufted headboard in a deep burgundy or mauve hue. The rich wood grain and functional design offer both style and practicality for a contemporary bedroom."
45,,BedRoom,Bed Cots,Honeysuckle,"This is a classic, dark wood bed frame featuring a simple, slatted headboard and a low-profile design. The warm, rich wood finish and timeless style offer a versatile aesthetic suitable for a variety of bedroom decors."
46,,BedRoom,Bed Room Tables,Verbena,"This is a dark wood, two-tiered side table featuring a small drawer and an open shelf, showcasing a collection of books and decorative items. The rich wood finish and functional design offer a classic accent suitable for a variety of interior styles."
47,,BedRoom,Bed Room Tables,Love-in-a-mist,"This is a dark wood, two-tiered side table featuring a small drawer and an open shelf, displaying books and topped with a modern lamp. The rich wood finish and functional design offer a classic accent suitable for a variety of interior styles."
48,,Storage,Wardrobes,Dandelion,"This is a tall, dark-finished wardrobe with a simple, utilitarian design, featuring two doors and a small ventilation grille at the top. Its minimalist aesthetic and functionality make it suitable for a variety of spaces, especially where storage is needed."
49,,Storage,Wardrobes,Pollen,"This is a classic, dark wood three-door wardrobe featuring a traditional design with panel detailing and a decorative top trim. The ample storage space and elegant styling make it a functional and attractive addition to a bedroom."
50,,Storage,Dressing Table,Xylem,"This is a contemporary, dark-finished dressing table with a tall, rectangular mirror and built-in shelving on one side. The clean lines and minimalist design offer a modern aesthetic suitable for a variety of bedroom styles."
51,,Storage,Dressing Table,Lantana,"This is a sleek, modern dressing table in a dark finish, featuring a tall rectangular mirror and built-in shelving on the side for storage. The minimalist design and clean lines make it a functional and stylish addition to a contemporary space."
52,,Living,Sofa Cum Bed,Snowdrop,"This is a contemporary sofa cum bed featuring a dark-finished base and a light-colored, cushioned top that can be easily converted into a bed. The clean lines and bi-tone design offer a modern aesthetic suitable for multi-functional spaces."
53,,Living,Coffee Tables,Rapunculus,"This is a modern, dark wood coffee table featuring a rectangular glass top and a lower shelf for storage or display. The clean lines and mixed materials offer a contemporary aesthetic suitable for a variety of living room styles."
54,,Living,Coffee Tables,Hollyhocks,"This is a modern, dark wood coffee table featuring a rectangular glass top and a lower shelf for storage or display. The clean lines and mixed materials offer a contemporary aesthetic suitable for a variety of living room styles."
55,,Living,Sofa Cum Bed,Sansevieria,"This is a contemporary sofa cum bed featuring a dark-finished base and a light-colored, cushioned top that can be easily converted into a bed. The clean lines and bi-tone design offer a modern aesthetic suitable for multi-functional spaces."
56,,Storage,Book Shelves,Saffron ,"This is a modern, asymmetrical bookshelf crafted from warm-toned wood, featuring a unique, staggered design with open cubby-like shelves. The varying shelf heights and depths offer versatile storage and display options for books, decorative objects, and plants."
57,,Storage,Book Shelves,Snapdragon,"This is a tall, dark-finished bookcase featuring a combination of open shelving with glass doors on the top section and closed storage with solid doors below. The design offers a mix of display space and concealed storage, making it a functional and stylish piece for a variety of rooms."
58,,Storage,Book Shelves,Buttercup,"This is a tall, dark-finished bookcase featuring three glass-paneled doors on the upper section, revealing multiple shelves, and three solid doors with drawers below. The combination of open display space and closed storage makes it a versatile and elegant piece for a variety of rooms."
59,,Office,Work Station Tables,Crown ,"This is a simple, dark-finished work table featuring a rectangular top, a small side drawer, and an open leg design. The minimalist aesthetic and compact size make it suitable for a variety of spaces, especially home offices or study areas."
60,,Office,Work Station Tables,Pimpernel,"This is a dark wood work table featuring a spacious rectangular top, a small side drawer, and an attached cabinet with a door and key lock. The functional design and ample storage make it suitable for a home office or study area."
61,,Office,Work Station Tables,Basil,"This is a compact, dark wood work table featuring a simple rectangular surface, a small drawer, and an open compartment below. Its minimalist design and modest size make it ideal for small spaces or as a secondary work surface."
62,,Office,Work Station Tables,Bumblebee orchid,"This is a dark-finished rectangular work table featuring a simple design with straight legs, a spacious top, and a small cabinet with a door on one side. The clean lines and functional storage make it suitable for a variety of home office or study spaces."
63,,Office,Work Station Tables,Madder,"This is a dark wood work table featuring an elevated, hutch-like design with open shelving and a spacious work surface, accompanied by a matching tall, closed-door cabinet for added storage. The combination of display space and concealed storage makes it a functional and stylish option for a home office or study."
64,,Study,Study Table,Chocolate cosmos,"This is a modern study table featuring a two-tone design with a dark-finished top and white drawers, offering a visually appealing contrast. The compact size and functional design with drawers make it suitable for smaller spaces or as a secondary work surface."
65,,Study,Study Table,Datura,"This is a dark wood study table featuring an elevated hutch-like design with open shelving and a spacious work surface, accompanied by a matching tall, closed-door cabinet for added storage. The combination of display space and concealed storage makes it a functional and stylish option for a home office or study."
66,,Study,Study Table,Flamingo,"This is a modern study table featuring a two-tone design with a dark wood top and a contrasting white, open shelving unit on one side. The compact size and functional design make it suitable for smaller spaces or as a secondary work surface."
67,,Storage,Tv Units,Kangaroo,"This is a modern, low-profile TV unit featuring a two-tone design with a dark wood main body and contrasting white accents. The unit offers a mix of open shelving and closed storage, along with a spacious top suitable for a large television."
68,,Storage,Tv Units,Parrot flower,"This is a modern, asymmetrical TV unit featuring a dark wood finish and contrasting white accents, with open shelving for media devices and decorative items. The low-profile design and unique shape offer a contemporary look suitable for a variety of living room styles."
69,,Storage,Tv Units,Lisianthus,"This is a modern entertainment center featuring a dark wood finish with contrasting white drawer fronts and a tall, asymmetrical shelving unit on one side. The combination of closed storage, open shelving, and display space makes it a functional and stylish focal point for a living room."
70,,Storage,Shoe Rack,Uniflora,"This is a compact, two-tone shoe rack featuring a dark wood finish and a contrasting white drawer on top, with a small cabinet below offering tiered storage for footwear. The functional design and modest size make it suitable for entryways or small spaces."
71,,Storage,Shoe Rack,Venus,This is a dark wood shoe rack featuring open shelving on the top tier for easy access and a closed cabinet below with double doors for concealed storage. The combination of open and closed storage solutions offers both convenience and a tidy appearance.
72,,Storage,Shoe Rack,Umbrella,"This is a modern shoe rack bench featuring a two-tone design with a dark wood base, a white cabinet door, and a cushioned seat on top. The combination of closed storage and a comfortable seating area makes it a functional and stylish addition to an entryway or mudroom."
73,,Living,sofas,Adonis,"Sleek, modern two-seater loveseat in soft light grey fabric with unique armrests and contrasting piping. Compact and comfortable, perfect for smaller spaces seeking contemporary style."
74,,Living,sofas,Daffodil,"Stylish mid-century modern blue sofa with tufted cushions and patterned pillows, offering both comfort and a vibrant pop of color to your living space."
75,,Living,sofas,Water lily,"Cheerful mustard yellow loveseat with a modern design, offering both style and comfort with plush cushions and a cozy two-seater size"
76,,Living,sofas,Jasmine,"Vibrant turquoise loveseat with plush cushions and colorful patterned pillows, offering both modern style and comfortable relaxation."
77,,Living,sofas,Amaranthus,"Versatile light grey sofa with plush cushions and button-tufting, offering both comfortable seating and a clean, modern design for any living room."
78,,Living,sofas,Magnolia,"Modern blue-grey sofa with plush cushions, matching pillows, and light wood legs, offering both style and comfort for contemporary living."
79,,Living,sofas,Tulip,"Glamorous, shell-backed dusty rose velvet loveseat with elegant gold legs, offering both luxurious comfort and a touch of vintage Hollywood style."
80,,Living,sofas,Bethlehem,"Elegant, channel-tufted beige loveseat with clean lines and plush cushions, offering both sophisticated style and comfortable seating for modern living."
81,,Living,sofas,laceleaf,"Sculptural, modern green loveseat/chair with a unique organic form and textured upholstery, offering both artistic flair and comfortable style."
82,,Living,sofas,Alyssum,"Luxurious beige sofa with elegant gold accents, plush cushions, and detailed quilting, offering both opulent style and comfortable relaxation."
83,,Living,sofas,Mimosa,"Chic mustard yellow sofa with plush cushions and sleek metal legs, offering both vibrant contemporary style and comfortable relaxation."
84,,Living,sofas,Valley,"Elegant dark grey sofa with classic button-tufting, plush cushions, decorative pillows, and a warm wood base, offering both timeless style and luxurious comfort."
85,,Living,sofas,Mallow,"Luxurious blue velvet loveseat with classic button-tufting and elegant gold legs, offering both glamorous style and sumptuous comfort."
86,,Living,sofas,Acropolis,"Elegant light grey sofa with channel tufting, gold trim, and stylish accent pillows, offering both sophisticated glamour and modern comfort."
87,,Living,sofas,Foxglove,"Plush beige sofa with stylish accent pillows, offering both comfort and a versatile design that complements any living space."
88,,Living,sofas,Camellia,"Classic brown Leatherette loveseat with plush cushions and a timeless design, offering both warmth, sophistication, and comfortable support for any living space."
89,,Living,sofas,Fuchsia,"Sleek white Leatherette loveseat with plush cushioning and a modern design, offering both contemporary elegance and comfortable support for any living space."
90,,Living,sofas,Speedwell,"Elegant, deep blue Leatherette Chesterfield sofa with button-tufting and rolled arms, offering both timeless sophistication and luxurious comfort."
91,,Living,sofas,Apple blossom,"Luxurious beige sofa with elegant button-tufting, gold accents, and plush decorative pillows, offering both opulent style and comfortable relaxation"
92,,Living,sofas,Eschscholzia,"Modern olive green loveseat with stylish channel tufting, curved armrests with metal details, and plush cushions, offering both contemporary elegance and comfortable relaxation."
93,,Living,sofas,Freesia,"Classic brown sofa with plush cushions, supportive armrests, and stylish throw pillows, offering both timeless style and comfortable relaxation for any living room."
94,,Living,sofas,Amaryllis,"Modern teal Leatherette reclining sofa with a chaise lounge and adjustable headrests, offering both style and ultimate comfort for contemporary living."
95,,Living,sofas,Forsythia,"Modern light blue Leatherette reclining sofa with adjustable headrests and a chaise lounge, offering both style and ultimate comfort for contemporary living."
96,,Living,sofas,Christmas holly,"Modern beige reclining sofa with adjustable headrests and a chaise, offering both sleek contemporary style and ultimate relaxation for your living space."
97,,Living,sofas,Mistletoe,"Modern light blue sectional sofa with a chaise lounge and plush cushions, offering both style and customizable comfort for a relaxing and stylish living space."
98,,Living,sofas,Aloe,"Modern blue sectional sofa with adjustable headrests and a modular design, offering both sophisticated style and customizable comfort for your living space."
99,,Living,sofas,,"Rich brown Leatherette sectional sofa with plush cushioning, a built-in corner table, and a classic design, offering both style and functionality for your living space."
100,,Living,sofas,Dahlia,"Soft tan sectional sofa with plush cushioning, a built-in corner table with storage, and a classic design, offering both style and functionality for your living space."
101,,Living,sofas,Azalea,"Stylish blue sofa with a modern design and hidden storage in the chaise lounge, offering both comfort and practicality for a clutter-free living room."
102,,Living,sofas,Lotus,"Versatile grey sofa bed with a sleek design, easily converting from a comfortable sofa to a relaxing bed, perfect for small spaces and accommodating guests."
103,,Living,Sofa Cum Bed,Lychee,"Versatile green sofa with a sleek design, easily converting into a comfortable bed, offering both style and practical sleeping space for guests or relaxation."
104,,Living,Recliners ,Celosia,"Plush beige recliner offering ultimate comfort and adjustable reclining positions, perfect for unwinding, reading, or relaxing in style."
105,,Living,Recliners ,Angelica,"Modern light grey recliner with plush cushioning and an easy-to-use reclining mechanism, offering both contemporary style and comfortable relaxation for your living space."
106,,Living,Recliners ,Gentian,"Classic maroon Leatherette recliner with plush cushioning and an easy-to-use reclining mechanism, offering both traditional comfort and stylish relaxation."
107,,Living,Recliners ,Hebe,"Plush tan recliner offering exceptional comfort and versatile style, perfect for unwinding, reading, or relaxing in your preferred position."
108,,Living,Recliners ,Gladiolus,"Modern light gray recliner with plush cushioning and an easy-to-use reclining mechanism, offering both contemporary style and comfortable relaxation for your living space."
109,,Living,Recliners ,Aconite,"Modern blue-grey recliner with plush cushioning and an easy-to-use reclining mechanism, offering both contemporary style and comfortable relaxation for your living space."
110,,Living,sofas,Mangosteen,"Modern grey Leatherette sectional with adjustable headrests, plush cushioning, and a chaise lounge, offering both sophisticated style and ultimate comfort for your living space."
111,,Living,sofas,Goldenrod,"Modern grey sectional sofa with adjustable headrests, plush cushioning, and a chaise lounge, offering both contemporary style and customizable comfort for your living space."
112,,Living,Recliners ,Daphne ,"Classic brown Leatherette reclining loveseat with plush cushioning, offering both style and shared comfort for relaxing or enjoying entertainment."
113,,Living,Recliners ,Acacia,"Tan reclining loveseat with plush cushioning and a convenient center console with storage and cup holders, offering both comfort and functionality for shared relaxation."
114,,Living,Recliners ,Lilac,"Modern light grey reclining loveseat with plush cushioning and independently reclining seats, offering both contemporary style and shared comfortable relaxation for your living space."
115,,Living,Recliners ,Eremurus,"Modern brown Leatherette reclining sofa with plush cushioning, offering both contemporary style and ultimate comfort for relaxing or entertaining."
116,,Living,Recliners ,Iris,"Modern blue Leatherette reclining sofa with plush cushioning, offering both contemporary style and ultimate comfort for relaxing or entertaining."
117,,Living,Recliners ,Guzmania,"Modern light grey reclining sofa with plush cushioning, offering both contemporary style and ultimate comfort for relaxing or entertaining."
118,,Living,Recliners ,Chrysanthemum,"Modern tan reclining sectional with plush cushioning, adjustable headrests, and convenient reclining seats, offering both style and customizable comfort for ultimate relaxation."
119,,Living,Recliners ,Alchemilla,"Modern red Leatherette sectional sofa with plush cushioning, adjustable headrests, and a chaise lounge, offering both bold style and ultimate comfort for contemporary living."
120,,Living,Recliners ,Petunia,"Brown Leatherette reclining sectional with plush cushioning, cup holders, and a chaise lounge, offering both comfort and functionality for relaxing or entertaining in your living room."
121,,BedRoom,Head Boards,Agapanthus,"Elegant beige bed with a stylish channel-tufted headboard, offering both sophisticated design and comfortable support for a restful and stylish sleep."
122,,BedRoom,Head Boards,Elder,"Striking upholstered bed with a contrasting black frame, offering both a bold contemporary style and a soft, inviting comfort for a restful and elegant sleep."
123,,BedRoom,Head Boards,Columbine,"Elegant tufted daybed with a classic design, offering both stylish seating and a comfortable sleeping space for versatile functionality in any living room or guest room."
124,,BedRoom,Head Boards,Durian,"Elegant bed with a unique scalloped headboard and footboard, combining vintage charm and refined sophistication for a restful and stylish sleep."
125,,BedRoom,Head Boards,Allium,"Elegant beige upholstered bed with a gently curved, nailhead-trimmed headboard, offering both classic sophistication and comfortable support for a restful and stylish sleep."
126,,BedRoom,Head Boards,Hellebore,"Elegant bed with a sophisticated tufted headboard, offering both classic charm and comfortable support for a restful and stylish sleep."
127,,BedRoom,Head Boards,Asphodel,"Luxurious blue bed with a deep button-tufted headboard, offering both sophisticated style and comfortable support for a restful and opulent sleep."
128,,BedRoom,Head Boards,Helenium,"Stylish bed with built-in storage drawers, offering both a contemporary design and practical functionality for a clutter-free and organized bedroom."
129,,BedRoom,Head Boards,Candytuft,"Elegant bed with a sophisticated tufted headboard, offering both classic charm and comfortable support for a restful and stylish sleep."
130,,Living,chairs ,Abutilon,"Bright yellow velvet accent chair with a modern design, plush upholstery, and sleek gold-capped legs, offering both style and comfort for any living space."
131,,Living,chairs ,Erigeron,"Luxurious swivel accent chair with gold metal accents and plush upholstery, offering both unique style and comfortable functionality for any living space."
132,,Living,chairs ,Orange blossom,"Chic black and white patterned accent chair with a modern silhouette and sleek metal legs, offering both style and comfort for any living space."
133,,Living,chairs ,Mandrake,"Classic blue wingback accent chair with tufting, nailhead trim, and a high back, offering both timeless elegance and comfortable support for any living space."
134,,Living,chairs ,Liverleaf,"Chic pink velvet accent chair with a unique, shell-shaped design, plush contoured seat, and sleek gold legs, offering both glamour and comfort for any living space."
135,,Living,chairs ,Narcissus,"Bright yellow velvet accent chair and ottoman with plush upholstery and sleek metal legs, offering both style and comfort for any living space."
136,,Living,chairs ,Pansy,"Sleek and modern gray accent chair with a unique, sculptural design, offering both contemporary elegance and comfortable support for any living space."
137,,Living,chairs ,Primrose,"Bright yellow velvet accent chair with a modern design, plush upholstery, and sleek legs, offering both style and comfort for any living space."
138,,Living,chairs ,Ranunculus,"Chic pink velvet accent chair with a modern design, plush upholstery, and sleek legs, offering both style and comfortable relaxation for any living space."
139,,Living,chairs ,Snowflake,"Chic white swivel accent chair with a unique textured design, plush rounded seat, and smooth swivel base, offering both modern elegance and comfortable functionality for any living space."
140,,Dining,Dining chairs,Wild daffodil,"Modern orange and gray dining chair with a sleek design, contoured back, and padded seat, offering both style and comfort for your dining space."
141,,Dining,Dining chairs,Winter aconite,"Elegant pink velvet dining chair with a modern design, contoured back, padded seat, and gold legs, offering both style and comfort for your dining space."
142,,Dining,Dining chairs,Winter rose,"Modern gray dining chair with a sleek design and comfortable cushioning, offering both contemporary style and versatile functionality for your dining space."
143,,Dining,Dining chairs,Adonis,"Elegant red dining chair with a classic tufted back design, offering both sophistication and comfortable support for memorable meals in your dining space."
144,,Dining,Dining chairs,Amber,"Classic brown dining chair with a supportive backrest and padded seat, upholstered in a durable material, offering both comfort and versatile style for your dining space"
145,,Dining,Dining chairs,Arnica,"Classic beige dining chair with a supportive backrest, padded seat, and nailhead trim, offering both timeless style and comfortable support for your dining space."
146,,Dining,Dining chairs,Bloomfell,"Elegant yellow dining chair with a sophisticated tufted back design and classic curved legs, offering both vintage charm and comfortable support for memorable meals in your dining space."
147,,Dining,Dining chairs,Bluebell,"Modern dining chair with a unique curved back, offering both stylish support and comfortable seating, making it a versatile addition to any dining space."
148,,Dining,Dining chairs,Burnet,"Elegant grey dining chair with a sophisticated tufted back design, offering both classic charm and comfortable support for memorable meals in your dining space."
149,,Dining,Dining chairs,Chamomile,"Elegant blue dining chair with a sophisticated tufted back design and nailhead trim, offering both classic charm and comfortable support for memorable meals in your dining space."
150,,Dining,Dining chairs,Cleaver,"Modern gray upholstered dining chair with armrests, offering both style and comfortable support, making it a versatile and elegant addition to any dining room."
151,,Dining,Dining chairs,Clover,"Modern gray velvet dining chair with a sleek design, comfortable cushioning, and a supportive backrest, offering both contemporary style and luxurious comfort for your dining space."
152,,Dining,Dining chairs,Corydalis,"Modern light gray dining chair with a sleek design and comfortable cushioning, offering both contemporary style and versatile functionality for your dining space."
153,,Dining,Dining chairs,Crowflower,"Elegant blue velvet dining chair with a modern design, contoured back, padded seat, and metal legs, offering both style and comfort for your dining space."
154,,Dining,Dining chairs,Field poppy,"Modern side chair with a sleek Leatherette seat, open back, and slim metal legs, offering both contemporary style and comfortable support for your kitchen or dining area."
155,,Dining,Dining chairs,Flax ,"Modern orange dining chair with a stylish diamond-stitched back, contoured seat, and sleek metal legs, offering both contemporary elegance and comfortable support for your dining space."
156,,Dining,Dining chairs,Honeyberry,"Chic modern dining chair with a unique rounded back and contrasting upholstery, offering both contemporary elegance and comfortable support, making it a versatile addition to any dining space."
157,,Dining,Dining chairs,Horsefoot,"Modern yellow dining chair with a sleek design, a unique cutout back, a padded seat, and metal legs, offering both contemporary style and comfortable support for your dining space."
158,,Living,pouffes,Knapweed,"Chic ribbed velvet ottoman with a modern design, plush cushioned top, and sleek silhouette, offering both style and comfort for any living space."
159,,Living,pouffes,Liverwort,"Chic white textured ottoman with a modern design, plush cushioned top, and minimalist base, offering both style and comfort for any living space."
160,,Living,pouffes,Malva,"Charming floral patterned ottoman with a plush top and a sleek gold base, offering both style and comfort for any living space."
161,,Living,pouffes,Meadowfoam,"Modern gray ottoman with a plush top and subtle gold trim, offering both style and comfort for any living space."
162,,Living,pouffes,Lime,"Luxurious blue velvet ottoman with a plush top and sleek gold legs, offering both style and comfort for any living space."
163,,Living,pouffes,Gooseberry,"Chic ribbed velvet ottoman with a modern design, plush cushioned top, and sleek silhouette, offering both style and comfort for any living space."
